HDR,ROLLING SYSTEM DEMAND
VD,20220118000000,29236
VD,20220118000500,29347
VD,20220118001000,29386
VD,20220118001500,29365
VD,20220118002000,29320
VD,20220118002500,29319
VD,20220118003000,29397
VD,20220118003500,29607
VD,20220118004000,29890
VD,20220118004500,30007
VD,20220118005000,30046
VD,20220118005500,30072
VD,20220118010000,30135
VD,20220118010500,30293
VD,20220118011000,30127
VD,20220118011500,30031
VD,20220118012000,29956
VD,20220118012500,29975
VD,20220118013000,29922
VD,20220118013500,29826
VD,20220118014000,29783
VD,20220118014500,29801
VD,20220118015000,29813
VD,20220118015500,29840
VD,20220118020000,29865
VD,20220118020500,30012
VD,20220118021000,30031
VD,20220118021500,30107
VD,20220118022000,30107
VD,20220118022500,30095
VD,20220118023000,30066
VD,20220118023500,29992
VD,20220118024000,29869
VD,20220118024500,29841
VD,20220118025000,29943
VD,20220118025500,29973
VD,20220118030000,29944
VD,20220118030500,29987
VD,20220118031000,29908
VD,20220118031500,29996
VD,20220118032000,30081
VD,20220118032500,30128
VD,20220118033000,30143
VD,20220118033500,30140
VD,20220118034000,30101
VD,20220118034500,30109
VD,20220118035000,30127
VD,20220118035500,30012
VD,20220118040000,30009
VD,20220118040500,30120
VD,20220118041000,30198
VD,20220118041500,30100
VD,20220118042000,30068
VD,20220118042500,30076
VD,20220118043000,30117
VD,20220118043500,30122
VD,20220118044000,30076
VD,20220118044500,30030
VD,20220118045000,30254
VD,20220118045500,30348
VD,20220118050000,30228
VD,20220118050500,29938
VD,20220118051000,30088
VD,20220118051500,30156
VD,20220118052000,30230
VD,20220118052500,30327
VD,20220118053000,30315
VD,20220118053500,30666
VD,20220118054000,31060
VD,20220118054500,31296
VD,20220118055000,31513
VD,20220118055500,31773
VD,20220118060000,32078
VD,20220118060500,32793
VD,20220118061000,33584
VD,20220118061500,34100
VD,20220118062000,34429
VD,20220118062500,34811
VD,20220118063000,35038
VD,20220118063500,35561
VD,20220118064000,36027
VD,20220118064500,36552
VD,20220118065000,37142
VD,20220118065500,37530
VD,20220118070000,37566
VD,20220118070500,37313
VD,20220118071000,37741
VD,20220118071500,38422
VD,20220118072000,39012
VD,20220118072500,39491
VD,20220118073000,39856
VD,20220118073500,40083
VD,20220118074000,40283
VD,20220118074500,40496
VD,20220118075000,40593
VD,20220118075500,40682
VD,20220118080000,40797
VD,20220118080500,40864
VD,20220118081000,40952
VD,20220118081500,41065
VD,20220118082000,41292
VD,20220118082500,41443
VD,20220118083000,41492
VD,20220118083500,41672
VD,20220118084000,41647
VD,20220118084500,41691
VD,20220118085000,41709
VD,20220118085500,41724
VD,20220118090000,41965
VD,20220118090500,42125
VD,20220118091000,42247
VD,20220118091500,42266
VD,20220118092000,42374
VD,20220118092500,42374
VD,20220118093000,42261
VD,20220118093500,42259
VD,20220118094000,42235
VD,20220118094500,42121
VD,20220118095000,41885
VD,20220118095500,41859
